Id,Label,timeset,function,gene,is_essential,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,metabolic_reactions,node_type,degree,go,weighted degree,eigencentrality,clustering,triangles
4944,4944,,ORF-V,YAL028W,0,0.650397,2.398844,2.244041,2.275591,1.986532,1.739651,2.223185,1.70115,0.171913,0.257848,0.400685,0.181726,0.84845,2.339773,2.137697,1.743151,1.637681,1.589796,1.528817,0.597192,0.706286,0.529351,0.299356,0.38431,1.039072,1.750296,2.072398,1.645031,1.963843,1.603992,2.092207,0.38937,0.561538,0.481299,0.275025,0.39834,,protein,2,FALSE,3.766708,0.000161,0,0
20,20,,ORF-V,YJL002C,1,9.93076,8.930635,8.215664,9.766029,11.264872,9.916121,10.40845,11.425288,8.571428,11.864351,10.77968,9.539085,9.469576,8.023864,8.090293,9.479452,10.380156,8.128571,8.294236,9.427646,14.634286,10.597322,7.225322,9.833168,8.60928,7.943195,9.969457,6.645031,8.802686,8.487395,8.439078,10.159456,11.681319,8.82874,8.735086,7.681535,,protein,0,FALSE,0,0,0,0
4943,4943,,ORF-V,YEL002C,1,11.37571,9.721387,8.825199,10.906636,12.530865,12.017428,11.111592,10.304075,10.104116,12.489911,11.234018,7.973604,11.32721,10.628409,10.348759,13.892694,7.410256,7.866327,7.582407,9.385529,12.014857,10.786818,11.665235,10.450845,7.789988,5.356213,9.924209,8.346856,9.707644,9.742647,7.30955,11.170581,10.781319,9.847441,9.365015,9.698132,,protein,0,FALSE,0,0,0,0
22,22,,ORF-V,YIL031W,1,0.643587,0.806936,1.074915,0.835771,0.937149,0.668845,0.650054,0.504702,0.802663,0.699552,0.704338,0.664975,0.764638,0.843182,0.611738,0.784247,1.025641,0.904082,0.494439,0.617711,0.72,0.593203,0.725322,0.629593,0.822955,0.92426,0.949095,0.815416,0.76343,0.662815,0.783754,0.720643,0.554945,0.63189,0.670374,0.58195,,protein,0,FALSE,0,0,0,0
38,38,,ORF-V,YNL311C,0,0.715097,0.476301,0.761634,0.608549,0.863075,0.706972,0.860238,0.961337,0.940678,0.946188,1.052512,0.791878,0.600459,0.552273,0.6614,0.476027,1.016722,0.561224,0.775531,0.825054,0.667429,0.748713,0.706009,0.855015,0.503053,0.557396,0.807692,0.635903,0.790289,0.682773,0.703622,0.65513,0.781319,0.713583,0.671385,0.760373,,protein,0,FALSE,0,0,0,0
2101,2101,,ORF-V,YOL051W,0,3.475596,4.646243,4.790011,5.133858,6.418632,5.635076,7.16143,5.724138,4.57385,4.257848,3.552512,3.274112,5.266361,4.319318,4.739277,5.809361,6.111483,4.518367,5.286147,4.856371,7.506286,4.038105,4.178112,4.092354,3.760684,3.27929,4.699095,2.986816,4.282025,4.171219,6.44786,4.70581,6.248352,3.317913,3.180991,3.605809,,protein,0,FALSE,0,0,0,0
3475,3475,,ORF-V,YJL042W,0,9.404086,10.919075,9.199773,10.973003,12.5477,10.612201,10.862405,7.809823,3.09201,7.028028,5.563927,5.671066,10.296211,10.759091,5.951467,10.219178,10.885173,8.016326,8.381193,6.035637,7.380571,7.625129,6.754292,6.856008,7.228327,11.272189,11.335973,7.236309,8.423553,8.363445,8.08123,5.667491,9.175824,6.146654,4.869565,6.086099,,protein,0,FALSE,0,0,0,0
120,120,,ORF-V,YDR473C,1,1.090806,1.224277,1.475596,1.618673,1.762065,1.703704,1.758396,1.761756,2.441889,1.387892,1.481735,1.814213,1.748565,1.4375,2.069977,1.809361,1.468227,2.354082,1.668352,1.897408,1.740571,1.947477,1.52897,1.629593,1.361416,1.416568,1.863122,1.879311,2.116735,2.294118,1.520307,1.786156,1.80989,1.786417,1.743175,1.675311,,protein,9,FALSE,34.610915,0.004501,0.25,9
2097,2097,,ORF-V,YGR091W,1,0.979569,0.87052,0.763905,0.982002,1.607183,1.155773,1.145179,0.722048,1.858354,1.304933,1.281964,0.88934,0.748565,1.05,0.806998,1.086758,0.720178,1.010204,0.87361,1.638229,1.324572,1.085479,1.126609,1.19861,1.025641,1.052071,0.959276,1.088235,1.213843,1.154412,1.464325,1.666255,1.143956,1.090551,0.90091,1.060166,,protein,0,FALSE,0,0,0,0
2887,2887,,ORF-U,YNR068C,0,0.346198,0.823121,0.794552,1.124859,1.383838,1.723312,2.413868,2.010449,0.329298,0.432735,0.708904,0.711675,0.911596,0.8375,0.861174,0.765982,1.299889,2.052041,2.130435,0.931966,0.64,0.794027,0.769313,0.556107,0.717949,0.63432,0.834842,1.092292,1.076446,1.745798,1.866081,0.454883,0.88022,0.818898,0.748231,0.753112,,protein,114,FALSE,120.734535,0.489818,0.975159,6281
4245,4245,,ORF-V,YML061C,0,1.171396,0.959538,1.009081,1.044994,1.332211,1.283224,1.141928,1.095089,1.095642,1.733184,1.978311,1.684264,1.628014,1.129546,1.138826,1.035388,1.274247,1.073469,1.221436,1.656587,1.475429,2.259526,1.984979,1.822244,0.86569,1.104142,1.14819,0.936106,1.355372,1.222689,1.031833,1.558714,1.710989,1.722441,1.853387,1.422199,,protein,0,FALSE,0,0,0,0
746,746,,ORF-V,YBR147W,0,3.842225,4.793064,5.188422,6.285714,9.747476,9.014161,9.300108,7.606061,5.374092,6.634529,2.238584,4.388832,5.349024,5.706819,6.155756,4.972603,5.342252,7.889796,7.921132,2.649028,9.446857,4.800206,4.550429,3.503476,3.990232,3.284024,6.643665,6.408723,8.047521,9.119748,7.940725,4.624227,5.365934,5.267716,4.440849,4.160788,r_1657;r_1837;r_1919;r_4161;r_4162;r_4163,protein,5,FALSE,10.681549,0.000397,0.3,3
1545,1545,,ORF-V,YNL281W,0,3.454029,4.277457,4.92395,5.339708,7.685747,6.763617,5.464788,4.876698,4.863196,5.369955,4.825343,4.958375,2.141217,4.502273,4.1693,6.802512,8.090302,6.353061,5.682507,7.195464,3.761143,5.435633,5.505364,5.021847,2.639805,3.515976,4.304299,5.682556,6.604339,7.733193,7.318332,8.721878,5.747253,5.669291,5.138524,4.408713,,protein,0,FALSE,0,0,0,0
174,174,,ORF-V,YAL038W,1,46.542564,37.959538,22.839954,41.204727,64.454544,58.698257,71.795235,65.01358,57.164646,41.06839,45.288815,38.44873,41.7876,31.53182,20.536118,42.584476,66.41583,41.909184,54.69363,56.348812,66.368004,37.15757,39.62232,42.20258,34.442005,32.734913,21.868778,27.85497,47.72624,51.649162,55.256863,40.80593,46.061543,34.17618,29.357937,33.909748,r_0962,protein,2,FALSE,2,0.000156,1,1
1321,1321,,ORF-V,YGL180W,1,1.540295,3.136416,1.423382,3.497188,4.883277,5.568627,5.637053,4.586207,0.842615,1.757848,1.753425,1.559391,1.391504,2.445455,3.633183,3.533105,2.212932,3.760204,4.755308,1.477322,2.555429,1.646756,1.950644,0.5571,1.588523,1.276923,3.65724,3.701826,4.508265,4.889706,6.866081,1.402967,1.746154,2.005906,1.596562,1.731328,,protein,2,FALSE,7.201843,0.000157,0,0
1674,1674,,ORF-V,YGR211W,1,0.804767,1.298266,2.007945,2.76378,4.143659,5.455337,5.399783,4.564263,2.673124,2.389013,2.439498,1.543147,0.618829,1.090909,1.845372,3.172375,3.672241,4.507143,5.385237,5.404968,1.749714,2.348095,1.988197,1.080437,0.929182,1.130178,1.214932,3.427992,4.088843,4.257353,6.273326,7.137207,2.104396,2.066929,1.775531,1.625519,,protein,7,FALSE,11.587767,0.000586,0,0
3266,3266,,ORF-V,YLR411W,0,0.796822,0.549133,0.481271,0.745782,1.083053,0.848584,0.820152,0.556949,0.041162,0.817265,1.236301,0.869035,0.725603,0.661364,0.521445,0.898402,1.050167,0.837755,0.824065,0.292657,0.491429,0.951596,0.947425,0.735849,0.625153,0.626035,0.641403,0.806288,1.14876,0.997899,0.784852,0.232386,0.726374,1.110236,0.836198,0.735477,,protein,0,FALSE,0,0,0,0
